Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,Assessment Model,Model Version,Lead Lab,Citation,Final Assessment Report 1,Final Assessment Report 2,Point of Contact,Life History Data,Abundance Data,Catch Data,Assessment Level,Assessment Frequency,Assessment Type,Model Category,Catch Input Data,Abundance Input Data,Biological Input Data,Ecosystem Linkage,Composition Input Data,F Year,Estimated F,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,F/Flimit,F/Fmsy,Ftarget,Ftarget Basis,F/Ftarget,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
10950,Albacore - North Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172419,Thunnus alalunga,Albacore,North Atlantic,936,2007,7,2005,Full Update,Full acceptance,MultifanCL,,ICCAT-SCRS,http://www.iccat.int/Documents/Meetings/Docs/2007_ALB%20STOCK%20ASSESS%20REP_AUG_07.pdf,REPORT OF THE 2007 ICCAT ALBACO RE STOCK ASSESSMENT SESSION ,,Victor Restrepo,2,1,2,4,2,,,,,,,,2005,0.272000015,Apical F,Max F at Age,0.180999994,Fmsy,0.180999994,Direct estimate,1.5,1.5,0.180999994,Fmsy,1.5,2005,135270,Metric Tons,Total Stock Biomass,,Bmsy,167000,Bmsy proxy,0.810000002,0.810000002,30230,
10950,Albacore - North Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172419,Thunnus alalunga,Albacore,North Atlantic,2245,2009,10,2007,Full Update,Full acceptance,Multifan CL,,ICCAT-SCRS,http://www.iccat.int/Documents/Meetings/Docs/2009_ALB_ASSESS_ENG.pdf,REPORT OF THE 2009 ICCAT ALBACO RE STOCK ASSESSMENT SESSION ,,"Michael Schirripa, Craig Brown",2,1,2,4,2,,,,,,,,2007,0.181999996,Apical F,Max F Rate at Age,,Fmsy,0.174999997,Direct estimate,,1.039999962,0.174999997,,1.039999962,2007,33397.98047,Metric Tons,Spawning Biomass,,,53660,Bmsy proxy,,0.621999979,29000,
10950,Albacore - North Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172419,Thunnus alalunga,Albacore,North Atlantic,3895,2013,10,2011,Full Update,Full acceptance,Multifan CL,,ICCAT-SCRS,http://www.iccat.int/Documents/Meetings/Docs/2013_ALB_ASSESS_REP_ENG.pdf,,,"Michael Schirripa, Craig Brown",3,1,2,4,2,,,,,,,,2011,0.107000001,Apical F,Max F Rate at Age,,Fmsy,0.149000004,Direct estimate,,0.720000029,0.149000004,,0.720000029,2011,76243,Metric Tons,Spawning Biomass,56700,0.7 * Bmsy,81110,Direct Estimate,1.345000029,0.939999998,31680,Metric Tons
10950,Albacore - North Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172419,Thunnus alalunga,Albacore,North Atlantic,6935,2016,10,2015,Full Update,Full acceptance,Aspic,,ICCAT-SCRS,http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf,Albacore 2016 Assessment Report,,"Rishi Sharma, Craig Brown",3,1,1,3,2,,,,,,,,2014,0.052000001,Apical F,Max F Rate at Age,,Fmsy,0.097000003,Direct estimate,,0.540000021,,,0.540000021,2015,555363,Metric Tons,Total Stock Biomass,163026.7969,0.4*Bmsy,407567,Direct Estimate,3.400000095,1.360000014,37082,Metric Tons
10950,Albacore - North Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172419,Thunnus alalunga,Albacore,North Atlantic,11022,2020,10,2019,,Full acceptance,Production Model,Biodyn Algorithm in ADMB,ICCAT-SCRS,http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf,REPORT OF THE 2020 ICCAT ATLANTIC ALBACORE STOCK ASSESSMENT MEETING,,Matt_Lauretta@noaa.gov,3,1,1,3,2,Operational,3,3,2,3,1,1,2018,0.059,Harvest Rate,Catch / Exploitable Biomass,0.093000002,Fmsy,0.093000002,Direct Estimate,0.634000003,0.634000003,,,,2019,508074,Metric Tons,Total Stock Biomass,153962,0.4*Bmsy,384905,Direct Estimate,3.299999952,1.320000052,36816,Metric Tons
10969,Atlantic Small Coastal Shark Complex,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,,,,,946,2007,11,2005,Benchmark,Full acceptance,BSP (Bayesian Surplus Production) model,,Panama City Laboratory (SEFSC),"SEDAR 13 Stock assessment report.  Small Coastal Shark complex, Atlantic sharpnose, blacknose, bonnethead and finetooth shark.  NOAA/NMFS Highly Migratory Species Division, 1315 East-West Highway, Silver Spring, MD 20910 (web site: http://www.sefsc.noaa.gov/sedar/Sedar_Workshops.jsp?WorkshopNum=13).","Small Coastal Shark Complex, Atlantic Sharpnose, Blacknose, Bonnethead, and Finetooth Shark ",,Enric Cortes,2,1,1,3,1,,,,,,,,2005,0.023,Exploitation Rate,Catch / Biomass,0.090999998,Fmsy,0.090999998,Calculated as r/2,0.25,0.25,0.068000004,0.75*Fmsy,0.340000004,2005,51605000,Number of Fish,Total Stock Abundance,21979854,(1-M)*Bmsy (assuming M=0.262 for the complex),29783000,K/2,2.349999905,1.690000057,2623000,
14141,Atlantic sharpnose shark - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Y,160200,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Atlantic,5245,2013,10,2011,Full Update,Partial acceptance - Status determinations only,State-space age-structured production model,,SEFSC,"SEDAR 34 Stock Assessment Report: HMS Atlantic sharpnose shark . DOC/NOAA/NMFS SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405 (Last accessed 11/15/2013) Available at http://www.sefsc.noaa.gov/sedar/download/S34_ATSH_SAR.pdf?id=DOCUMENT",SEDAR 34: HMS Atlantic Sharpnose Shark,,"Dean Courtney, Xinsheng Zhang, Enric Cortes",2,1,1,4,2,,,,,,,,2011,0.043000001,Apical F,Max F Rate at Age,0.184,Fmsy,0.184,Direct estimate,0.233999997,0.233999997,,,,2011,10100000,Pups,Spawning Stock Fecundity - Numbers at Age * Pup Production at Age,3732480,(1-M)*Bmsy,4860000,Direct Estimate,2.70600009,2.078000069,,
14142,Atlantic sharpnose shark - Gulf of Mexico,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,Y,160200,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Gulf of Mexico,5246,2013,10,2011,Full Update,Partial acceptance - Status determinations only,State-space age-structured production model,,SEFSC,"SEDAR 34 Stock Assessment Report: HMS Atlantic sharpnose shark . DOC/NOAA/NMFS SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405 (Last accessed 11/15/2013) Available at http://www.sefsc.noaa.gov/sedar/download/S34_ATSH_SAR.pdf?id=DOCUMENT",SEDAR 34: HMS Atlantic Sharpnose Shark,,"Dean Courtney, Xinsheng Zhang, Enric Cortes",2,1,1,4,2,,,,,,,,2011,,,,,Fmsy,,Direct estimate,,,,,,2011,,,,,(1-M)*Bmsy,,Direct Estimate,,,,
10169,Bigeye tuna - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172428,Thunnus obesus,Bigeye tuna,Atlantic,949,2007,6,2005,Full Update,Full acceptance,Surplus production model,ASPIC 5.16,ICCAT-SCRS,http://www.iccat.int/Documents/Meetings/Docs/BET%20STOCK%20ASSESS%20REP_ENG_AUG%201%2007.pdf,REPORT OF THE 2007 ICCAT BIGEYE TUNA STOCK ASSESSMENT SESSION ,,Victor Restrepo,2,1,2,3,2,,,,,,,,2005,0.174999997,annual exploitation rate,U (exploitation rate = catch/biomass),,Fmsy,0.201000005,Direct estimate,0.870999992,0.870999992,,Fmsy,0.870999992,2006,414752,mt,Total stock biomass,,Bmsy,451800,K/2,0.917999983,0.917999983,90820,
10169,Bigeye tuna - Atlantic,Atlantic HMS,Consolidated Atlantic Highly Migratory Species,SEFSC,Atlantic Highly Migratory,N,172428,Thunnus obesus,Bigeye tuna,Atlantic,2906,2010,7,2009,Benchmark,Full acceptance,Surplus production model,ASPIC 5.16,ICCAT-SCRS,http://www.iccat.int/Documents/CVSP/CV066_2011/no_1/CV066010001.pdf,REPORT OF THE 2010 ICCAT BIGEYE TUNA STOCK ASSESSMENT SESSION ,,"Craig Brown, Shannon Cass-Calay",2,1,2,3,2,,,,,,,,2008,0.202999994,annual exploitation rate,average F (F average across range of ages),,Fmsy,0.214000002,Direct estimate,0.949999988,0.949999988,,Fmsy,0.949999988,2009,,mt,Total stock biomass,,Bmsy,,K/2,1.00999999,1.00999999,92000,mt
