Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,Assessment Model,Model Version,Lead Lab,Citation,Final Assessment Report 1,Final Assessment Report 2,Point of Contact,Life History Data,Abundance Data,Catch Data,Assessment Level,Assessment Frequency,Assessment Type,Model Category,Catch Input Data,Abundance Input Data,Biological Input Data,Ecosystem Linkage,Composition Input Data,F Year,Estimated F,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,F/Flimit,F/Fmsy,Ftarget,Ftarget Basis,F/Ftarget,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
10787,Atlantic surfclam - Mid-Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,80944,Spisula solidissima,Atlantic surfclam,Mid-Atlantic Coast,947,2006,12,2005,Benchmark,Full acceptance,Delay Difference,,NEFSC,NEFSC CRD 07-03 (2007),ASSESSMENT OF ATLANTIC SURFCLAM,,Weinberg,3,3,5,4,2,,,,,,,,2005,0.018999999,annual exploitation rate,F rate,0.150000006,M proxy,,proxy,0.129999995,,,,,2005,1170000,mt (meat weight only),Exploitable biomass,450000,1/4 biomass in 1999,900000,proxy,2.599999905,1.299999952,135000,
10787,Atlantic surfclam - Mid-Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,80944,Spisula solidissima,Atlantic surfclam,Mid-Atlantic Coast,2258,2009,12,2008,Benchmark,Full acceptance,KLAMZ,,NEFSC,NEFSC CRD 10-01 (2010),ASSESSMENT OF ATLANTIC SURFCLAM,,James Weinberg,3,3,5,4,2,,,,,,,,2008,0.027000001,Instantaneous annual F averaged across ages,average F (F average across range of ages),0.150000006,M proxy,0.150000006,proxy,0.180000007,0.180000007,,,,2008,878000,mt,Exploitable biomass,272000,0.5*Bmsy,543000,0.5B1999,3.227999926,1.616999984,,
10787,Atlantic surfclam - Mid-Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,80944,Spisula solidissima,Atlantic surfclam,Mid-Atlantic Coast,3711,2013,4,2011,Benchmark,Full acceptance,Stock Synthesis,,NEFSC,NEFSC CRD 13-04  (2013),ASSESSMENT OF ATLANTIC SURFCLAM,,James Weinberg,3,3,5,4,2,,,,,,,,2011,0.027000001,Apical  F (max F at age),apical F (max F at age),0.150000006,M proxy,0.150000006,proxy,0.180000007,0.180000007,,,,2011,1060000,mt,Exploitable biomass,486000,0.5*Bmsy,972000,0.5B1999,2.180999994,1.090000033,98000,
10787,Atlantic surfclam - Mid-Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,80944,Spisula solidissima,Atlantic surfclam,Mid-Atlantic Coast,7291,2016,11,2015,Benchmark,Full acceptance,Stock synthesis,,NEFSC,"61st Stock Assessment Workshop, Atlantic surfclam, NEFSC CRD 16-13",61st Northeast Regional Stock Assessment Workshop (63rd SAW) Assessment Summary Report.,,Dan Hennen,3,3,5,4,2,,,,,,,,2015,0.009,Apical  F (max F at age),apical F (max F at age),0.030999999,seecomments,0.030999999,proxy,0.294999987,0.294999987,,,,2015,46355000,mt,Spawning biomass,,seecomments,,seecomments,,2.539999962,,
10787,Atlantic surfclam - Mid-Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,80944,Spisula solidissima,Atlantic surfclam,Mid-Atlantic Coast,10645,2020,6,2019,,Full acceptance,SS,Base,NEFSC,"61st Stock Assessment Workshop, Atlantic surfclam, NEFSC CRD 16-13",,,Dan Hennen,3,3,5,4,2,Operational,6,5,4,5,2,4,2019,0.035999998,Apical  F,F Rate for Fully Selected Clams,0.141000003,Fmsy,0.141000003,Fmsy proxy,0.254999995,0.254999995,,,,2019,1222,Thousand Metric Tons,Spawning Stock Biomass,513.5,0.5*Bmsy,1027,SSBmsy Proxy,2.380000114,1.190000057,,
10788,Ocean quahog - Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,81343,Arctica islandica,Ocean quahog,Atlantic Coast,993,2006,12,2005,Benchmark,Full acceptance,Delay Difference (KLAMZ),,NEFSC,NEFSC CRD 07-03 (2007),43rd SAW Assessment Summary Report,,Weinberg,2,3,5,4,2,,,,,,,,2005,0.005,annual exploitation rate,F rate,0.052000001,F25%,,proxy,0.090000004,,0.028000001,F 0.1,0.159999996,2005,3039000,mt (meat weight only),Total stock biomass,993000,B25%,1987000,proxy,3.059999943,1.529999971,102702,
10788,Ocean quahog - Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,81343,Arctica islandica,Ocean quahog,Atlantic Coast,1977,2009,6,2008,Benchmark,Full acceptance,Delay Difference (KLAMZ),,NEFSC,NEFSC CRD 09-10 (2009),48th Northeast Regional Stock Assessment Workshop (48th SAW) Assessment Summary Report,,James Weinberg,2,3,5,4,2,,,,,,,,2008,0.01,Catch/Biomass,U (exploitation rate = catch/biomass),0.022,F45%_Exploitable_Stock_Only,,,0.455000013,,,,0.100000001,2008,2905000,mt (meat weight only),Total stock biomass,1432000,40% of 1978 biomass,1790000,50% of 1978 biomass,2.029000044,1.623000026,,
10788,Ocean quahog - Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,81343,Arctica islandica,Ocean quahog,Atlantic Coast,3830,2013,9,2011,Full Update,Full acceptance,Delay Difference (KLAMZ),,NEFSC,"NEFSC CRD 13-17 (2013). Stock Assessment Update for Ocean Quahogs (Arctice islandica) through 2011 -- by Chute et. al.;  MAFMC Briefing Material June 10-13, 2013 staff memo.",Stock Assessment Update  for Ocean Quahogs ( Arctica islandica )  through 2011,,James Weinberg,2,3,5,4,2,,,,,,,,2011,0.01,F rate,F rate,0.022,F45%  ,,,0.455000013,,,,0.100000001,2008,2961000,mt (meat weight only),Total stock biomass,1390000,40% of 1978 biomass,1730000,50% of 1978 biomass,2.130000114,1.712000012,,
10788,Ocean quahog - Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,81343,Arctica islandica,Ocean quahog,Atlantic Coast,7290,2017,3,2016,Benchmark,Full acceptance,Stock Synthesis,,NEFSC,"63rd Stock Assessment Workshop Assessment Summary Report Ocean quahog, NEFSC CRD17-09",63rd Northeast Regional Stock Assessment Workshop (63rd SAW) Assessment Summary Report.,,Dan Hennen,2,3,5,4,2,,,,,,,,2016,0.005,Apical F,F Rate for Fully Selected Clams,0.018999999,Fmsy,0.018999999,MSE,0.263000011,0.263000011,,,,2016,3287300,Metric Tons,Total Stock Biomass - Meat Weight,1610868,SSB40%,2013585,SSB50%,2.040999889,1.633000016,73298,Metric Tons
10788,Ocean quahog - Atlantic Coast,MAFMC,Atlantic Surfclam and Ocean Quahog,NEFSC,Northeast Shelf,Y,81343,Arctica islandica,Ocean quahog,Atlantic Coast,10663,2020,6,2019,,Full acceptance,SS,Base,NEFSC,"63rd Stock Assessment Workshop Assessment Summary Report Ocean quahog, NEFSC CRD17-09",,,Michele Traver,2,3,5,4,2,Operational,6,5,4,4,2,4,2019,0.005,Apical F,F Rate for Fully Selected Clams,0.018999999,Fmsy,0.018999999,MSE,0.263000011,0.263000011,,,,2019,2282,Thousand Metric Tons,Total Stock Biomass - Meat Weight,1056.5,0.5*Bmsy,2113,SSB50%,2.160000086,1.080000043,,Metric Tons
