geoid,geoName,year,sector,establishments,employment,wages,gdp
09001,Fairfield County,2021,Marine Construction,16,79,5993905,9647894.637
09001,Fairfield County,2021,Living Resources,36,272,13803568,27335653.429
09001,Fairfield County,2021,Offshore Mineral Resources,18,77,6347340,37587557.813
09001,Fairfield County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
09001,Fairfield County,2021,Tourism and Recreation,1340,15744.083,520987329,1148756856.011
09001,Fairfield County,2021,Marine Transportation,43,1154,50066216,62235756.024
09001,Fairfield County,2021,Ocean Economy,1459,17626,635733414,1368124000.161
09007,Middlesex County,2021,Marine Construction,SUP,SUP,SUP,SUP
09007,Middlesex County,2021,Living Resources,3,23,694743,1603220.185
09007,Middlesex County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
09007,Middlesex County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
09007,Middlesex County,2021,Tourism and Recreation,201,2532.833,79834448,167586195.354
09007,Middlesex County,2021,Marine Transportation,SUP,SUP,SUP,SUP
09007,Middlesex County,2021,Ocean Economy,218,3189.917,122301945,248800416.828
09009,New Haven County,2021,Marine Construction,13,81,7489304,12054915.1
09009,New Haven County,2021,Living Resources,14,69,2686913,6747141.73
09009,New Haven County,2021,Offshore Mineral Resources,14,40,2766276,16381280.832
09009,New Haven County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
09009,New Haven County,2021,Tourism and Recreation,852,10233.833,266298584,598452552.911
09009,New Haven County,2021,Marine Transportation,54,8923,355288177,441647683.18
09009,New Haven County,2021,Ocean Economy,950,20330.917,700987407,1225533452.217
09011,New London County,2021,Marine Construction,11,108,8917581,14353894.815
09011,New London County,2021,Living Resources,10,41,1384676,3195340.599
09011,New London County,2021,Offshore Mineral Resources,8,65,4013029,23764279.138
09011,New London County,2021,Ship and Boat Building,10,371,40626845,130865954.92
09011,New London County,2021,Tourism and Recreation,479,6448,193348702,447552561.995
09011,New London County,2021,Marine Transportation,16,6,242299,416639.843
09011,New London County,2021,Ocean Economy,537,19996.417,1542697952,3632727629.828
10001,Kent County,2021,Marine Construction,SUP,SUP,SUP,SUP
10001,Kent County,2021,Living Resources,SUP,SUP,SUP,SUP
10001,Kent County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
10001,Kent County,2021,Ship and Boat Building,0,0,0,0
10001,Kent County,2021,Tourism and Recreation,243,3999.75,79964791,155588307.153
10001,Kent County,2021,Marine Transportation,SUP,SUP,SUP,SUP
10001,Kent County,2021,Ocean Economy,262,5495.333,170629153,268325249.333
10003,New Castle County,2021,Marine Transportation,88,6073,297049150,364923221.19
10003,New Castle County,2021,Ocean Economy,697,14017.167,503759924,763847654.005
10003,New Castle County,2021,Marine Construction,SUP,SUP,SUP,SUP
10003,New Castle County,2021,Living Resources,SUP,SUP,SUP,SUP
10003,New Castle County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
10003,New Castle County,2021,Ship and Boat Building,0,0,0,0
10003,New Castle County,2021,Tourism and Recreation,579,6982.75,150340827,309532962.545
10005,Sussex County,2021,Marine Construction,SUP,SUP,SUP,SUP
10005,Sussex County,2021,Living Resources,18,5,370846,926948.383
10005,Sussex County,2021,Offshore Mineral Resources,3,0,0,0
10005,Sussex County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
10005,Sussex County,2021,Tourism and Recreation,691,11725.833,314012955,833116695.896
10005,Sussex County,2021,Marine Transportation,SUP,SUP,SUP,SUP
10005,Sussex County,2021,Ocean Economy,746,12130,337069347,877490715.379
23005,Cumberland County,2021,Marine Construction,14,127,8241342,11156369.003
23005,Cumberland County,2021,Living Resources,155,796,38730465,112783909.59
23005,Cumberland County,2021,Offshore Mineral Resources,4,6,253821,456762.518
23005,Cumberland County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
23005,Cumberland County,2021,Tourism and Recreation,895,12313.417,393394791,829290422.824
23005,Cumberland County,2021,Marine Transportation,29,1593,72012968,95678698.68
23005,Cumberland County,2021,Ocean Economy,1104,15082.167,526243875,1065501260.883
23009,Hancock County,2021,Marine Construction,7,23,1051501,1423425.112
23009,Hancock County,2021,Living Resources,207,624,28372841,80491959.299
23009,Hancock County,2021,Offshore Mineral Resources,0,0,0,0
23009,Hancock County,2021,Ship and Boat Building,17,324,16809939,17362154.501
23009,Hancock County,2021,Tourism and Recreation,391,3400.833,122516659,293373628.75
23009,Hancock County,2021,Marine Transportation,7,38,2086332,2755019.868
23009,Hancock County,2021,Ocean Economy,631,4436.25,171795676,395057350.737
23013,Knox County,2021,Marine Construction,SUP,SUP,SUP,SUP
23013,Knox County,2021,Living Resources,178,242,12839894,37927501.412
23013,Knox County,2021,Offshore Mineral Resources,0,0,0,0
23013,Knox County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
23013,Knox County,2021,Tourism and Recreation,211,1903,62408369,132819340.577
23013,Knox County,2021,Marine Transportation,SUP,SUP,SUP,SUP
23013,Knox County,2021,Ocean Economy,413,2564.5,96631910,193903713.307
23015,Lincoln County,2021,Marine Construction,9,33,1577047,2134860.835
23015,Lincoln County,2021,Living Resources,113,280,10770220,25204390.174
23015,Lincoln County,2021,Offshore Mineral Resources,0,0,0,0
23015,Lincoln County,2021,Ship and Boat Building,14,159,8430209,8707145.882
23015,Lincoln County,2021,Tourism and Recreation,191,1455.333,47153955,108054061.928
23015,Lincoln County,2021,Marine Transportation,SUP,SUP,SUP,SUP
23015,Lincoln County,2021,Ocean Economy,332,1987.167,70355685,146734496.108
23023,Sagadahoc County,2021,Marine Construction,SUP,SUP,SUP,SUP
23023,Sagadahoc County,2021,Living Resources,SUP,SUP,SUP,SUP
23023,Sagadahoc County,2021,Offshore Mineral Resources,0,0,0,0
23023,Sagadahoc County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
23023,Sagadahoc County,2021,Tourism and Recreation,59,661.333,18826001,40638559.921
23023,Sagadahoc County,2021,Marine Transportation,0,0,0,0
23023,Sagadahoc County,2021,Ocean Economy,SUP,SUP,SUP,SUP
23027,Waldo County,2021,Marine Construction,SUP,SUP,SUP,SUP
23027,Waldo County,2021,Living Resources,SUP,SUP,SUP,SUP
23027,Waldo County,2021,Offshore Mineral Resources,1,0,0,0
23027,Waldo County,2021,Ship and Boat Building,5,111,5317237,5491911.084
23027,Waldo County,2021,Tourism and Recreation,90,776.833,22852875,48450010.226
23027,Waldo County,2021,Marine Transportation,SUP,SUP,SUP,SUP
23027,Waldo County,2021,Ocean Economy,115,1152.833,42013061,92047013.87
23029,Washington County,2021,Marine Construction,0,0,0,0
23029,Washington County,2021,Living Resources,93,333,13044535,39084064.962
23029,Washington County,2021,Offshore Mineral Resources,1,0,0,0
23029,Washington County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
23029,Washington County,2021,Tourism and Recreation,79,514.083,11302355,24303010.74
23029,Washington County,2021,Marine Transportation,SUP,SUP,SUP,SUP
23029,Washington County,2021,Ocean Economy,185,1079.667,34141548,81002313.352
23031,York County,2021,Marine Construction,SUP,SUP,SUP,SUP
23031,York County,2021,Living Resources,37,332,15629014,44657336.081
23031,York County,2021,Offshore Mineral Resources,8,40,2315666,0
23031,York County,2021,Ship and Boat Building,6,6492,559195186,577565047.41
23031,York County,2021,Tourism and Recreation,683,7836.583,254969688,559410945.002
23031,York County,2021,Marine Transportation,SUP,SUP,SUP,SUP
23031,York County,2021,Ocean Economy,747,15133.5,856667732,1150197523.1
25001,Barnstable County,2021,Marine Construction,16,118,10342160,16906808.502
25001,Barnstable County,2021,Living Resources,90,358,20849081,44659706.161
25001,Barnstable County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
25001,Barnstable County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
25001,Barnstable County,2021,Tourism and Recreation,1192,14949,564281951,1303110974.9
25001,Barnstable County,2021,Marine Transportation,26,617,54341398,161737410.19
25001,Barnstable County,2021,Ocean Economy,1333,16042,649814590,1526414899.8
25005,Bristol County,2021,Marine Construction,SUP,SUP,SUP,SUP
25005,Bristol County,2021,Living Resources,223,3196,313864717,722925083.19
25005,Bristol County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
25005,Bristol County,2021,Ship and Boat Building,12,263,17186471,21606078.398
25005,Bristol County,2021,Tourism and Recreation,174.772,2709.16,70149988.944,153594176.57
25005,Bristol County,2021,Marine Transportation,34,2558,157065573,189553122.15
25005,Bristol County,2021,Ocean Economy,458.772,8726.16,558266749.94,1087678460.3
25007,Dukes County,2021,Marine Transportation,SUP,SUP,SUP,SUP
25007,Dukes County,2021,Ocean Economy,189,1281,69030124,162353839.85
25007,Dukes County,2021,Marine Construction,SUP,SUP,SUP,SUP
25007,Dukes County,2021,Living Resources,SUP,SUP,SUP,SUP
25007,Dukes County,2021,Offshore Mineral Resources,0,0,0,0
25007,Dukes County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
25007,Dukes County,2021,Tourism and Recreation,174,1281,69030124,162353839.85
25009,Essex County,2021,Marine Construction,17,117,9635359,15751368.134
25009,Essex County,2021,Living Resources,148,1270,100883040,212784760.43
25009,Essex County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
25009,Essex County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
25009,Essex County,2021,Tourism and Recreation,1066.655,14429.171,417662664.14,855218332.25
25009,Essex County,2021,Marine Transportation,32,317,21911417,26424012.498
25009,Essex County,2021,Ocean Economy,1278.655,16133.171,550092480.14,1110178473.3
25017,Middlesex County,2021,Marine Construction,23,189,18578529,30371182.813
25017,Middlesex County,2021,Living Resources,26,121,8118313,17700361.114
25017,Middlesex County,2021,Offshore Mineral Resources,14,20,1847288,2919971.759
25017,Middlesex County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
25017,Middlesex County,2021,Tourism and Recreation,0,0,0,0
25017,Middlesex County,2021,Marine Transportation,53,5218,560176108,1098959308.2
25017,Middlesex County,2021,Ocean Economy,118,5548,588720238,1149950823.8
25019,Nantucket County,2021,Marine Construction,SUP,SUP,SUP,SUP
25019,Nantucket County,2021,Living Resources,SUP,SUP,SUP,SUP
25019,Nantucket County,2021,Offshore Mineral Resources,0,0,0,0
25019,Nantucket County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
25019,Nantucket County,2021,Tourism and Recreation,134,1444,86716573,197813675.24
25019,Nantucket County,2021,Marine Transportation,0,0,0,0
25019,Nantucket County,2021,Ocean Economy,140,1444,86716573,197813675.24
25021,Norfolk County,2021,Marine Construction,20,364,41454010,67766792.304
25021,Norfolk County,2021,Living Resources,17,108,3816808,7212277.717
25021,Norfolk County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
25021,Norfolk County,2021,Ship and Boat Building,0,0,0,0
25021,Norfolk County,2021,Tourism and Recreation,456.274,5818.904,165278323.39,324671701.31
25021,Norfolk County,2021,Marine Transportation,45,2513,196408568,266163446.96
25021,Norfolk County,2021,Ocean Economy,541.274,8803.904,406957709.39,665814218.29
25023,Plymouth County,2021,Marine Construction,11,104,9126651,14919759.578
25023,Plymouth County,2021,Living Resources,45,341,17535398,36463958.556
25023,Plymouth County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
25023,Plymouth County,2021,Ship and Boat Building,7,48,2414139,3034949.787
25023,Plymouth County,2021,Tourism and Recreation,600.276,9203.979,243915931.93,488091419.04
25023,Plymouth County,2021,Marine Transportation,30,774,58240791,111982994.93
25023,Plymouth County,2021,Ocean Economy,705.276,10470.979,331232910.93,654493081.89
25025,Suffolk County,2021,Marine Construction,13,131,15525537,25380315.228
25025,Suffolk County,2021,Living Resources,74,1801,129248067,271659727.95
25025,Suffolk County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
25025,Suffolk County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
25025,Suffolk County,2021,Tourism and Recreation,963.74,14603.501,528040489.47,1136034152
25025,Suffolk County,2021,Marine Transportation,29,525,109406144,142344920.01
25025,Suffolk County,2021,Ocean Economy,1084.74,17060.501,782220237.47,1575419115.2
33015,Rockingham County,2021,Marine Construction,SUP,SUP,SUP,SUP
33015,Rockingham County,2021,Living Resources,22,171,13438813,27839668.284
33015,Rockingham County,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
33015,Rockingham County,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
33015,Rockingham County,2021,Tourism and Recreation,500.92,6390.956,189478226.87,501770835.12
33015,Rockingham County,2021,Marine Transportation,28,1546,97895003,123917742.84
