geoid,geoName,year,sector,establishments,employment,wages,gdp
09000,Connecticut,2021,Marine Construction,SUP,SUP,SUP,SUP
09000,Connecticut,2021,Living Resources,83,671.583,31519933,77531016.998
09000,Connecticut,2021,Offshore Mineral Resources,42,211.833,15053979,82590397.892
09000,Connecticut,2021,Ship and Boat Building,20,12548.917,1265747284,3040594774.778
09000,Connecticut,2021,Tourism and Recreation,2872,34958.75,1060469063,2362348166.272
09000,Connecticut,2021,Marine Transportation,129,12647.833,611509116,895064383.989
09000,Connecticut,2021,Ocean Economy,3189,61385.25,3014935828,6507451887.562
10000,Delaware,2021,Marine Construction,28,70,4032343,7454562.703
10000,Delaware,2021,Living Resources,36,262.333,12787618,28881260.916
10000,Delaware,2021,Offshore Mineral Resources,10,73.5,4724403,7992173.158
10000,Delaware,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
10000,Delaware,2021,Tourism and Recreation,1513,22708.333,544318573,1298237965.595
10000,Delaware,2021,Marine Transportation,115,8518.583,445149624,565584828.529
10000,Delaware,2021,Ocean Economy,1705,31642.5,1011458424,1909663618.718
23000,Maine,2021,Marine Construction,41,258.417,16412247,21368011.82
23000,Maine,2021,Living Resources,840,3544.25,170598907,475337141.848
23000,Maine,2021,Offshore Mineral Resources,14,59,3055742,13495913.005
23000,Maine,2021,Ship and Boat Building,85,14423.75,1047823249,942531367.274
23000,Maine,2021,Tourism and Recreation,2599,28861.417,933424693,2036339979.968
23000,Maine,2021,Marine Transportation,54,2185.417,103755984,139780876.958
23000,Maine,2021,Ocean Economy,3633,49332.25,2275070822,3628853290.873
25000,Massachusetts,2021,Marine Construction,115,1023,104662246,171096226.56
25000,Massachusetts,2021,Living Resources,666,7770,631713023,1379122889.9
25000,Massachusetts,2021,Offshore Mineral Resources,44,20,1847288,2919971.759
25000,Massachusetts,2021,Ship and Boat Building,41,554,35318214,44400511.341
25000,Massachusetts,2021,Tourism and Recreation,4761.719,64438.714,2145076045.9,4620888271.2
25000,Massachusetts,2021,Marine Transportation,264,13054,1214288833,2125800593
25000,Massachusetts,2021,Ocean Economy,5891.719,86859.714,4132905649.9,8344228463.9
33000,New Hampshire,2021,Marine Construction,SUP,SUP,SUP,SUP
33000,New Hampshire,2021,Living Resources,39,204,15613674,32110584.271
33000,New Hampshire,2021,Offshore Mineral Resources,SUP,SUP,SUP,SUP
33000,New Hampshire,2021,Ship and Boat Building,SUP,SUP,SUP,SUP
33000,New Hampshire,2021,Tourism and Recreation,500.92,6390.956,189478226.87,501770835.12
33000,New Hampshire,2021,Marine Transportation,55,8719,991274023,1372920937.6
33000,New Hampshire,2021,Ocean Economy,628.92,15313.956,1196365923.9,1906802357
34000,New Jersey,2021,Marine Construction,130,2255.417,226208469,395390494.487
34000,New Jersey,2021,Living Resources,302,2266.917,139908503,369844575.795
34000,New Jersey,2021,Offshore Mineral Resources,76,684.333,55112593,149294916.147
34000,New Jersey,2021,Ship and Boat Building,33,1441,88746343,172992652.508
34000,New Jersey,2021,Tourism and Recreation,8303,90866.25,2588046049,5472282318.447
34000,New Jersey,2021,Marine Transportation,880,75737.333,4869075692,7472475480.999
34000,New Jersey,2021,Ocean Economy,9724,173251.25,7967097649,14032280438.383
36000,New York,2021,Marine Construction,249,3163,355455352,635708676.25
36000,New York,2021,Living Resources,686,4530,224071496,594126271.56
36000,New York,2021,Offshore Mineral Resources,136,593,48911527,124061476.39
36000,New York,2021,Ship and Boat Building,33,923,84654250,139597959.36
36000,New York,2021,Tourism and Recreation,21302.54,246336.763,9608183410.4,22560525152
36000,New York,2021,Marine Transportation,686,30376,2113014038,3169743128
36000,New York,2021,Ocean Economy,23092.54,285921.763,12434290073,27223762664
42000,Pennsylvania,2021,Marine Construction,18,119.75,9085423,14830724.151
42000,Pennsylvania,2021,Living Resources,160,1549.167,68286542,183737838.765
42000,Pennsylvania,2021,Offshore Mineral Resources,25,95.25,8184005,32571282.708
42000,Pennsylvania,2021,Ship and Boat Building,22,801.25,57930114,89208195.278
42000,Pennsylvania,2021,Tourism and Recreation,2401,28839.333,842374383,1978263658.707
42000,Pennsylvania,2021,Marine Transportation,225,10364.917,658286796,1145203244.932
42000,Pennsylvania,2021,Ocean Economy,2851,41769.667,1644147263,3443814944.541
44000,Rhode Island,2021,Marine Construction,24,143.75,16675363,28265642.561
44000,Rhode Island,2021,Living Resources,107,582.5,39388693,128196137.473
44000,Rhode Island,2021,Offshore Mineral Resources,14,135.25,8628707,48810617.74
44000,Rhode Island,2021,Ship and Boat Building,37,5245.167,342150891,602892714.126
44000,Rhode Island,2021,Tourism and Recreation,2195,32163,922521867,2150522648.766
44000,Rhode Island,2021,Marine Transportation,58,2905.25,233943663,363965484.008
44000,Rhode Island,2021,Ocean Economy,2435,41174.917,1563309184,3322653244.673
